Gdańsk,54.3520,18.6466,5
Gdynia,54.5189,18.5305,3
Warszawa,52.2297,21.0122,10
Kraków,50.0647,19.9450,8
Wrocław,51.1079,17.0385,7
Poznań,52.4064,16.9252,6
Łódź,51.7592,19.4560,5
Szczecin,53.4285,14.5528,4
Bydgoszcz,53.1235,18.0084,4
Katowice,50.2649,19.0238,7
Lublin,51.2465,22.5684,5
Białystok,53.1325,23.1688,3
Rzeszów,50.0412,21.9991,4
Olsztyn,53.7784,20.4801,3
Kielce,50.8661,20.6286,4
Toruń,53.0138,18.5981,3
Opole,50.6751,17.9213,3
Zielona Góra,51.9356,15.5062,3
Gorzów,52.7368,15.2288,2
Słupsk,54.4641,17.0285,2
Elbląg,54.1560,19.4044,2
Płock,52.5463,19.7063,3
Radom,51.4027,21.1471,4
Częstochowa,50.8118,19.1203,4
Koszalin,54.1942,16.1716,2
